"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1389.133.100","1","0","0","1","1","0","0","20230724","20230728"
"1389.133.104","0","1","0","1","1","0","0","20230724","20230728"
"1389.133.108","1","1","0","1","1","0","0","20230724","20230728"
"1389.133.112","0","0","1","1","1","0","0","20230724","20230728"
"1389.133.116","1","0","1","1","1","0","0","20230724","20230728"
"1389.133.12","1","1","0","0","0","0","0","20230724","20230728"
"1389.133.120","0","1","1","1","1","0","0","20230724","20230728"
"1389.133.124","1","1","1","1","1","0","0","20230724","20230728"
"1389.133.16","0","0","1","0","0","0","0","20230724","20230728"
"1389.133.20","1","0","1","0","0","0","0","20230724","20230728"
"1389.133.24","0","1","1","0","0","0","0","20230724","20230728"
"1389.133.28","1","1","1","0","0","0","0","20230724","20230728"
"1389.133.32","0","0","0","1","0","0","0","20230724","20230728"
"1389.133.36","1","0","0","1","0","0","0","20230724","20230728"
"1389.133.4","1","0","0","0","0","0","0","20230724","20230728"
"1389.133.40","0","1","0","1","0","0","0","20230724","20230728"
"1389.133.44","1","1","0","1","0","0","0","20230724","20230728"
"1389.133.48","0","0","1","1","0","0","0","20230724","20230728"
"1389.133.52","1","0","1","1","0","0","0","20230724","20230728"
"1389.133.56","0","1","1","1","0","0","0","20230724","20230728"
"1389.133.60","1","1","1","1","0","0","0","20230724","20230728"
"1389.133.64","0","0","0","0","1","0","0","20230724","20230728"
"1389.133.68","1","0","0","0","1","0","0","20230724","20230728"
"1389.133.72","0","1","0","0","1","0","0","20230724","20230728"
"1389.133.76","1","1","0","0","1","0","0","20230724","20230728"
"1389.133.8","0","1","0","0","0","0","0","20230724","20230728"
"1389.133.80","0","0","1","0","1","0","0","20230724","20230728"
"1389.133.84","1","0","1","0","1","0","0","20230724","20230728"
"1389.133.88","0","1","1","0","1","0","0","20230724","20230728"
"1389.133.92","1","1","1","0","1","0","0","20230724","20230728"
"1389.133.96","0","0","0","1","1","0","0","20230724","20230728"
"1391.137.128","0","0","0","0","0","1","0","20230729","20230730"
"1391.137.130","0","0","0","0","0","1","1","20230729","20230730"
"1391.137.2","0","0","0","0","0","0","1","20230729","20230730"
"435.152.100","1","0","0","1","1","0","0","20230731","20230804"
"435.152.104","0","1","0","1","1","0","0","20230731","20230804"
"435.152.108","1","1","0","1","1","0","0","20230731","20230804"
"435.152.112","0","0","1","1","1","0","0","20230731","20230804"
"435.152.116","1","0","1","1","1","0","0","20230731","20230804"
"435.152.12","1","1","0","0","0","0","0","20230731","20230804"
"435.152.120","0","1","1","1","1","0","0","20230731","20230804"
"435.152.124","1","1","1","1","1","0","0","20230731","20230804"
"435.152.16","0","0","1","0","0","0","0","20230731","20230804"
"435.152.20","1","0","1","0","0","0","0","20230731","20230804"
"435.152.24","0","1","1","0","0","0","0","20230731","20230804"
"435.152.28","1","1","1","0","0","0","0","20230731","20230804"
"435.152.32","0","0","0","1","0","0","0","20230731","20230804"
"435.152.36","1","0","0","1","0","0","0","20230731","20230804"
"435.152.4","1","0","0","0","0","0","0","20230731","20230804"
"435.152.40","0","1","0","1","0","0","0","20230731","20230804"
"435.152.44","1","1","0","1","0","0","0","20230731","20230804"
"435.152.48","0","0","1","1","0","0","0","20230731","20230804"
"435.152.52","1","0","1","1","0","0","0","20230731","20230804"
"435.152.56","0","1","1","1","0","0","0","20230731","20230804"
"435.152.60","1","1","1","1","0","0","0","20230731","20230804"
"435.152.64","0","0","0","0","1","0","0","20230731","20230804"
"435.152.72","0","1","0","0","1","0","0","20230731","20230804"
"435.152.76","1","1","0","0","1","0","0","20230731","20230804"
"435.152.8","0","1","0","0","0","0","0","20230731","20230804"
"435.152.80","0","0","1","0","1","0","0","20230731","20230804"
"435.152.84","1","0","1","0","1","0","0","20230731","20230804"
"435.152.88","0","1","1","0","1","0","0","20230731","20230804"
"435.152.92","1","1","1","0","1","0","0","20230731","20230804"
"435.152.96","0","0","0","1","1","0","0","20230731","20230804"
"1392.131.128","0","0","0","0","0","1","0","20230805","20230806"
"1392.131.130","0","0","0","0","0","1","1","20230805","20230806"
"1392.131.2","0","0","0","0","0","0","1","20230805","20230806"
"1294.155.100","1","0","0","1","1","0","0","20230807","20230811"
"1294.155.104","0","1","0","1","1","0","0","20230807","20230811"
"1294.155.108","1","1","0","1","1","0","0","20230807","20230811"
"1294.155.112","0","0","1","1","1","0","0","20230807","20230811"
"1294.155.116","1","0","1","1","1","0","0","20230807","20230811"
"1294.155.12","1","1","0","0","0","0","0","20230807","20230811"
"1294.155.120","0","1","1","1","1","0","0","20230807","20230811"
"1294.155.124","1","1","1","1","1","0","0","20230807","20230811"
"1294.155.16","0","0","1","0","0","0","0","20230807","20230811"
"1294.155.20","1","0","1","0","0","0","0","20230807","20230811"
"1294.155.24","0","1","1","0","0","0","0","20230807","20230811"
"1294.155.28","1","1","1","0","0","0","0","20230807","20230811"
"1294.155.32","0","0","0","1","0","0","0","20230807","20230811"
"1294.155.36","1","0","0","1","0","0","0","20230807","20230811"
"1294.155.4","1","0","0","0","0","0","0","20230807","20230811"
"1294.155.40","0","1","0","1","0","0","0","20230807","20230811"
"1294.155.44","1","1","0","1","0","0","0","20230807","20230811"
"1294.155.48","0","0","1","1","0","0","0","20230807","20230811"
"1294.155.52","1","0","1","1","0","0","0","20230807","20230811"
"1294.155.56","0","1","1","1","0","0","0","20230807","20230811"
"1294.155.60","1","1","1","1","0","0","0","20230807","20230811"
"1294.155.64","0","0","0","0","1","0","0","20230807","20230811"
"1294.155.68","1","0","0","0","1","0","0","20230807","20230811"
"1294.155.72","0","1","0","0","1","0","0","20230807","20230811"
"1294.155.76","1","1","0","0","1","0","0","20230807","20230811"
"1294.155.8","0","1","0","0","0","0","0","20230807","20230811"
"1294.155.80","0","0","1","0","1","0","0","20230807","20230811"
"1294.155.84","1","0","1","0","1","0","0","20230807","20230811"
"1294.155.88","0","1","1","0","1","0","0","20230807","20230811"
"1294.155.92","1","1","1","0","1","0","0","20230807","20230811"
"1294.155.96","0","0","0","1","1","0","0","20230807","20230811"
"1527.100.100","1","0","0","1","1","0","0","20230812","20230822"
"1527.100.108","1","1","0","1","1","0","0","20230812","20230822"
"1527.100.120","0","1","1","1","1","0","0","20230812","20230822"
"1527.100.124","1","1","1","1","1","0","0","20230812","20230822"
"1527.100.128","0","0","0","0","0","1","0","20230812","20230822"
"1527.100.130","0","0","0","0","0","1","1","20230812","20230822"
