"vehicle_category_id","child_sequence","grandchild_sequence","boarding_area_id"
"A8","1","","2000328"
"A8","2","","2000328"
"A8","3","","2000328"
"A8","4","","2000328"
"A8","5","","2000328"
"A8","6","","2000328"
"A8","7","","2000328"
"A8","8","","2000328"
"A8","1","","2000332"
"A8","2","","2000332"
"A8","3","","2000332"
"A8","4","","2000332"
"A8","5","","2000332"
"A8","6","","2000332"
"A8","7","","2000332"
"A8","8","","2000332"
"A8","1","","2000335"
"A8","2","","2000335"
"A8","3","","2000335"
"A8","4","","2000335"
"A8","5","","2000335"
"A8","6","","2000335"
"A8","7","","2000335"
"A8","8","","2000335"
"A8","1","","2000336"
"A8","2","","2000336"
"A8","3","","2000336"
"A8","4","","2000336"
"A8","5","","2000336"
"A8","6","","2000336"
"A8","7","","2000336"
"A8","8","","2000336"
"A8","1","","2000337"
"A8","2","","2000337"
"A8","3","","2000337"
"A8","4","","2000337"
"A8","5","","2000337"
"A8","6","","2000337"
"A8","7","","2000337"
"A8","8","","2000337"
"A8","1","","2000338"
"A8","2","","2000338"
"A8","3","","2000338"
"A8","4","","2000338"
"A8","5","","2000338"
"A8","6","","2000338"
"A8","7","","2000338"
"A8","8","","2000338"
"A8","1","","2000339"
"A8","2","","2000339"
"A8","3","","2000339"
"A8","4","","2000339"
"A8","5","","2000339"
"A8","6","","2000339"
"A8","7","","2000339"
"A8","8","","2000339"
"A8","1","","2000340"
"A8","2","","2000340"
"A8","3","","2000340"
"A8","4","","2000340"
"A8","5","","2000340"
"A8","6","","2000340"
"A8","7","","2000340"
"A8","8","","2000340"
"A8","1","","2000341"
"A8","2","","2000341"
"A8","3","","2000341"
"A8","4","","2000341"
"A8","5","","2000341"
"A8","6","","2000341"
"A8","7","","2000341"
"A8","8","","2000341"
"A8","1","","2000342"
"A8","2","","2000342"
"A8","3","","2000342"
"A8","4","","2000342"
"A8","5","","2000342"
"A8","6","","2000342"
"A8","7","","2000342"
"A8","8","","2000342"
"A8","1","","2000343"
"A8","2","","2000343"
"A8","3","","2000343"
"A8","4","","2000343"
"A8","5","","2000343"
"A8","6","","2000343"
"A8","7","","2000343"
"A8","8","","2000343"
"A8","1","","2000391"
"A8","2","","2000391"
"A8","3","","2000391"
"A8","4","","2000391"
"A8","5","","2000391"
"A8","6","","2000391"
"A8","7","","2000391"
"A8","8","","2000391"
"A8","1","","2000392"
"A8","2","","2000392"
"A8","3","","2000392"
"A8","4","","2000392"
"A8","5","","2000392"
"A8","6","","2000392"
"A8","7","","2000392"
"A8","8","","2000392"
"A8","1","","2000393"
"A8","2","","2000393"
"A8","3","","2000393"
"A8","4","","2000393"
"A8","5","","2000393"
"A8","6","","2000393"
"A8","7","","2000393"
"A8","8","","2000393"
"A8","1","","2000396"
"A8","2","","2000396"
"A8","3","","2000396"
"A8","4","","2000396"
"A8","5","","2000396"
"A8","6","","2000396"
"A8","7","","2000396"
"A8","8","","2000396"
"A8","1","","2000403"
"A8","2","","2000403"
"A8","3","","2000403"
"A8","4","","2000403"
"A8","5","","2000403"
"A8","6","","2000403"
"A8","7","","2000403"
"A8","8","","2000403"
"A8","1","","2000404"
"A8","2","","2000404"
"A8","3","","2000404"
"A8","4","","2000404"
"A8","5","","2000404"
"A8","6","","2000404"
"A8","7","","2000404"
"A8","8","","2000404"
"A8","1","","2000405"
"A8","2","","2000405"
"A8","3","","2000405"
"A8","4","","2000405"
"A8","5","","2000405"
"A8","6","","2000405"
"A8","7","","2000405"
"A8","8","","2000405"
"A8","1","","2000406"
"A8","2","","2000406"
"A8","3","","2000406"
"A8","4","","2000406"
"A8","5","","2000406"
"A8","6","","2000406"
"A8","7","","2000406"
"A8","8","","2000406"
"A8","1","","2015133"
"A8","2","","2015133"
"A8","3","","2015133"
"A8","4","","2015133"
"A8","5","","2015133"
"A8","6","","2015133"
"A8","7","","2015133"
"A8","8","","2015133"
"A8","1","","2015134"
"A8","2","","2015134"
"A8","3","","2015134"
"A8","4","","2015134"
"A8","5","","2015134"
"A8","6","","2015134"
"A8","7","","2015134"
"A8","8","","2015134"
"A8","1","","2015135"
"A8","2","","2015135"
"A8","3","","2015135"
"A8","4","","2015135"
"A8","5","","2015135"
"A8","6","","2015135"
"A8","7","","2015135"
"A8","8","","2015135"
"A8","1","","2015136"
"A8","2","","2015136"
"A8","3","","2015136"
"A8","4","","2015136"
"A8","5","","2015136"
"A8","6","","2015136"
"A8","7","","2015136"
"A8","8","","2015136"
"A8","1","","2015137"
"A8","2","","2015137"
"A8","3","","2015137"
"A8","4","","2015137"
"A8","5","","2015137"
"A8","6","","2015137"
"A8","7","","2015137"
"A8","8","","2015137"
"A8","1","","2015138"
"A8","2","","2015138"
"A8","3","","2015138"
"A8","4","","2015138"
"A8","5","","2015138"
"A8","6","","2015138"
"A8","7","","2015138"
"A8","8","","2015138"
"A8","1","","2015139"
"A8","2","","2015139"
"A8","3","","2015139"
"A8","4","","2015139"
"A8","5","","2015139"
"A8","6","","2015139"
"A8","7","","2015139"
"A8","8","","2015139"
"A8","1","","2015140"
"A8","2","","2015140"
"A8","3","","2015140"
"A8","4","","2015140"
"A8","5","","2015140"
"A8","6","","2015140"
"A8","7","","2015140"
"A8","8","","2015140"
"A8","1","","204471"
"A8","2","","204471"
"A8","3","","204471"
"A8","4","","204471"
"A8","5","","204471"
"A8","6","","204471"
"A8","7","","204471"
"A8","8","","204471"
"A8","1","","204472"
"A8","2","","204472"
"A8","3","","204472"
"A8","4","","204472"
"A8","5","","204472"
"A8","6","","204472"
"A8","7","","204472"
"A8","8","","204472"
"A8","1","","204473"
"A8","2","","204473"
"A8","3","","204473"
"A8","4","","204473"
"A8","5","","204473"
"A8","6","","204473"
"A8","7","","204473"
"A8","8","","204473"
"A8","1","","204474"
"A8","2","","204474"
"A8","3","","204474"
"A8","4","","204474"
"A8","5","","204474"
"A8","6","","204474"
"A8","7","","204474"
"A8","8","","204474"
"A8","1","","2060101"
"A8","2","","2060101"
"A8","3","","2060101"
"A8","4","","2060101"
"A8","5","","2060101"
"A8","6","","2060101"
"A8","7","","2060101"
"A8","8","","2060101"
"A8","1","","2060102"
"A8","2","","2060102"
"A8","3","","2060102"
"A8","4","","2060102"
"A8","5","","2060102"
"A8","6","","2060102"
"A8","7","","2060102"
"A8","8","","2060102"
"A8","1","","2060103"
"A8","2","","2060103"
"A8","3","","2060103"
"A8","4","","2060103"
"A8","5","","2060103"
"A8","6","","2060103"
"A8","7","","2060103"
"A8","8","","2060103"
"A8","1","","2060104"
"A8","2","","2060104"
"A8","3","","2060104"
"A8","4","","2060104"
"A8","5","","2060104"
"A8","6","","2060104"
"A8","7","","2060104"
"A8","8","","2060104"
"A8","1","","2060111"
"A8","2","","2060111"
"A8","3","","2060111"
"A8","4","","2060111"
"A8","5","","2060111"
"A8","6","","2060111"
"A8","7","","2060111"
"A8","8","","2060111"
"A8","1","","2060112"
"A8","2","","2060112"
"A8","3","","2060112"
"A8","4","","2060112"
"A8","5","","2060112"
"A8","6","","2060112"
"A8","7","","2060112"
"A8","8","","2060112"
"A8","1","","206141"
"A8","2","","206141"
"A8","3","","206141"
"A8","4","","206141"
"A8","5","","206141"
"A8","6","","206141"
"A8","7","","206141"
"A8","8","","206141"
"A8","1","","206142"
"A8","2","","206142"
"A8","3","","206142"
"A8","4","","206142"
"A8","5","","206142"
"A8","6","","206142"
"A8","7","","206142"
"A8","8","","206142"
"A8","1","","206451"
"A8","2","","206451"
"A8","3","","206451"
"A8","4","","206451"
"A8","5","","206451"
"A8","6","","206451"
"A8","7","","206451"
"A8","8","","206451"
"A8","1","","206452"
"A8","2","","206452"
"A8","3","","206452"
"A8","4","","206452"
"A8","5","","206452"
"A8","6","","206452"
"A8","7","","206452"
"A8","8","","206452"
"A8","1","","2065152"
"A8","2","","2065152"
"A8","3","","2065152"
"A8","4","","2065152"
"A8","5","","2065152"
"A8","6","","2065152"
"A8","7","","2065152"
"A8","8","","2065152"
"A8","1","","2065153"
"A8","2","","2065153"
"A8","3","","2065153"
"A8","4","","2065153"
"A8","5","","2065153"
"A8","6","","2065153"
"A8","7","","2065153"
"A8","8","","2065153"
"A8","1","","2065161"
"A8","2","","2065161"
"A8","3","","2065161"
"A8","4","","2065161"
"A8","5","","2065161"
"A8","6","","2065161"
"A8","7","","2065161"
"A8","8","","2065161"
"A8","1","","2065162"
"A8","2","","2065162"
"A8","3","","2065162"
"A8","4","","2065162"
"A8","5","","2065162"
"A8","6","","2065162"
"A8","7","","2065162"
"A8","8","","2065162"
"A8","1","","2067141"
"A8","2","","2067141"
"A8","3","","2067141"
"A8","4","","2067141"
"A8","5","","2067141"
"A8","6","","2067141"
"A8","7","","2067141"
"A8","8","","2067141"
"A8","1","","2067144"
"A8","2","","2067144"
"A8","3","","2067144"
"A8","4","","2067144"
"A8","5","","2067144"
"A8","6","","2067144"
"A8","7","","2067144"
"A8","8","","2067144"
"A8","1","","207261"
"A8","2","","207261"
"A8","3","","207261"
"A8","4","","207261"
"A8","5","","207261"
"A8","6","","207261"
"A8","7","","207261"
"A8","8","","207261"
"A8","1","","207262"
"A8","2","","207262"
"A8","3","","207262"
"A8","4","","207262"
"A8","5","","207262"
"A8","6","","207262"
"A8","7","","207262"
"A8","8","","207262"
"A8","1","","207263"
"A8","2","","207263"
"A8","3","","207263"
"A8","4","","207263"
"A8","5","","207263"
"A8","6","","207263"
"A8","7","","207263"
"A8","8","","207263"
"A8","1","","2077291"
"A8","2","","2077291"
"A8","3","","2077291"
"A8","4","","2077291"
"A8","5","","2077291"
"A8","6","","2077291"
"A8","7","","2077291"
"A8","8","","2077291"
"A8","1","","2077292"
"A8","2","","2077292"
"A8","3","","2077292"
"A8","4","","2077292"
"A8","5","","2077292"
"A8","6","","2077292"
"A8","7","","2077292"
"A8","8","","2077292"
"A8","1","","2077301"
"A8","2","","2077301"
"A8","3","","2077301"
"A8","4","","2077301"
"A8","5","","2077301"
"A8","6","","2077301"
"A8","7","","2077301"
"A8","8","","2077301"
"A8","1","","2077302"
"A8","2","","2077302"
"A8","3","","2077302"
"A8","4","","2077302"
"A8","5","","2077302"
"A8","6","","2077302"
"A8","7","","2077302"
"A8","8","","2077302"
"A8","1","","2077303"
"A8","2","","2077303"
"A8","3","","2077303"
"A8","4","","2077303"
"A8","5","","2077303"
"A8","6","","2077303"
"A8","7","","2077303"
"A8","8","","2077303"
"A8","1","","2077304"
"A8","2","","2077304"
"A8","3","","2077304"
"A8","4","","2077304"
"A8","5","","2077304"
"A8","6","","2077304"
"A8","7","","2077304"
"A8","8","","2077304"
"A8","1","","2079101"
"A8","2","","2079101"
"A8","3","","2079101"
"A8","4","","2079101"
"A8","5","","2079101"
"A8","6","","2079101"
"A8","7","","2079101"
"A8","8","","2079101"
"A8","1","","2079102"
"A8","2","","2079102"
"A8","3","","2079102"
"A8","4","","2079102"
"A8","5","","2079102"
"A8","6","","2079102"
"A8","7","","2079102"
"A8","8","","2079102"
"A8","1","","208041"
"A8","2","","208041"
"A8","3","","208041"
"A8","4","","208041"
"A8","5","","208041"
"A8","6","","208041"
"A8","7","","208041"
"A8","8","","208041"
"A8","1","","208042"
"A8","2","","208042"
"A8","3","","208042"
"A8","4","","208042"
"A8","5","","208042"
"A8","6","","208042"
"A8","7","","208042"
"A8","8","","208042"
"A8","1","","208171"
"A8","2","","208171"
"A8","3","","208171"
"A8","4","","208171"
"A8","5","","208171"
"A8","6","","208171"
"A8","7","","208171"
"A8","8","","208171"
"A8","1","","208172"
"A8","2","","208172"
"A8","3","","208172"
"A8","4","","208172"
"A8","5","","208172"
"A8","6","","208172"
"A8","7","","208172"
"A8","8","","208172"
"A8","1","","208173"
"A8","2","","208173"
"A8","3","","208173"
"A8","4","","208173"
"A8","5","","208173"
"A8","6","","208173"
"A8","7","","208173"
"A8","8","","208173"
"A8","1","","2121221"
"A8","2","","2121221"
"A8","3","","2121221"
"A8","4","","2121221"
"A8","5","","2121221"
"A8","6","","2121221"
"A8","7","","2121221"
"A8","8","","2121221"
"A8","1","","2121222"
"A8","2","","2121222"
"A8","3","","2121222"
"A8","4","","2121222"
"A8","5","","2121222"
"A8","6","","2121222"
"A8","7","","2121222"
"A8","8","","2121222"
"A8","1","","2121223"
"A8","2","","2121223"
"A8","3","","2121223"
"A8","4","","2121223"
"A8","5","","2121223"
"A8","6","","2121223"
"A8","7","","2121223"
"A8","8","","2121223"
"A8","1","","2127102"
"A8","2","","2127102"
"A8","3","","2127102"
"A8","4","","2127102"
"A8","5","","2127102"
"A8","6","","2127102"
"A8","7","","2127102"
"A8","8","","2127102"
"A8","1","","2127103"
"A8","2","","2127103"
"A8","3","","2127103"
"A8","4","","2127103"
"A8","5","","2127103"
"A8","6","","2127103"
"A8","7","","2127103"
"A8","8","","2127103"
"A8","1","","2135231"
"A8","2","","2135231"
"A8","3","","2135231"
"A8","4","","2135231"
"A8","5","","2135231"
"A8","6","","2135231"
"A8","7","","2135231"
"A8","8","","2135231"
"A8","1","","2135232"
"A8","2","","2135232"
"A8","3","","2135232"
"A8","4","","2135232"
"A8","5","","2135232"
"A8","6","","2135232"
"A8","7","","2135232"
"A8","8","","2135232"
"A8","1","","2135233"
"A8","2","","2135233"
"A8","3","","2135233"
"A8","4","","2135233"
"A8","5","","2135233"
"A8","6","","2135233"
"A8","7","","2135233"
"A8","8","","2135233"
