"parent_id","child_id","child_sequence","child_label"
"A8","Acar","1","1"
"A8","Acar","2","2"
"A8","Acar","3","3"
"A8","Acar","4","4"
"A8","Acar","5","5"
"A8","Acar","6","6"
"A8","Acar","7","7"
"A8","Acar","8","8"
"B8","Bcar","1","1"
"B8","Bcar","2","2"
"B8","Bcar","3","3"
"B8","Bcar","4","4"
"B8","Bcar","5","5"
"B8","Bcar","6","6"
"B8","Bcar","7","7"
"B8","Bcar","8","8"
"C4","Ccar","1","1"
"C4","Ccar","2","2"
"C4","Ccar","3","3"
"C4","Ccar","4","4"
"C8","Ccar","1","1"
"C8","Ccar","2","2"
"C8","Ccar","3","3"
"C8","Ccar","4","4"
"C8","Ccar","5","5"
"C8","Ccar","6","6"
"C8","Ccar","7","7"
"C8","Ccar","8","8"
"D10","Dcar","1","1"
"D10","Dcar","2","2"
"D10","Dcar","3","3"
"D10","Dcar","4","4"
"D10","Dcar","5","5"
"D10","Dcar","6","6"
"D10","Dcar","7","7"
"D10","Dcar","8","8"
"D10","Dcar","9","9"
"D10","Dcar","10","10"
"D4","Dcar","1","1"
"D4","Dcar","2","2"
"D4","Dcar","3","3"
"D4","Dcar","4","4"
"D6","Dcar","1","1"
"D6","Dcar","2","2"
"D6","Dcar","3","3"
"D6","Dcar","4","4"
"D6","Dcar","5","5"
"D6","Dcar","6","6"
"D8","Dcar","1","1"
"D8","Dcar","2","2"
"D8","Dcar","3","3"
"D8","Dcar","4","4"
"D8","Dcar","5","5"
"D8","Dcar","6","6"
"D8","Dcar","7","7"
"D8","Dcar","8","8"
"H4","Hcar","1","1"
"H4","Hcar","2","2"
"H4","Hcar","3","3"
"H4","Hcar","4","4"
"H8","Hcar","1","1"
"H8","Hcar","2","2"
"H8","Hcar","3","3"
"H8","Hcar","4","4"
"H8","Hcar","5","5"
"H8","Hcar","6","6"
"H8","Hcar","7","7"
"H8","Hcar","8","8"
"J2","Jcar","1","1"
"J2","Jcar","2","2"
"J4","Jcar","1","1"
"J4","Jcar","2","2"
"J4","Jcar","3","3"
"J4","Jcar","4","4"
"K4","Kcar","1","1"
"K4","Kcar","2","2"
"K4","Kcar","3","3"
"K4","Kcar","4","4"
"K8","Kcar","1","1"
"K8","Kcar","2","2"
"K8","Kcar","3","3"
"K8","Kcar","4","4"
"K8","Kcar","5","5"
"K8","Kcar","6","6"
"K8","Kcar","7","7"
"K8","Kcar","8","8"
"M4","Mcar","1","1"
"M4","Mcar","2","2"
"M4","Mcar","3","3"
"M4","Mcar","4","4"
"M8","Mcar","1","1"
"M8","Mcar","2","2"
"M8","Mcar","3","3"
"M8","Mcar","4","4"
"M8","Mcar","5","5"
"M8","Mcar","6","6"
"M8","Mcar","7","7"
"M8","Mcar","8","8"
"N2","Ncar","1","1"
"N2","Ncar","2","2"
"N4","Ncar","1","1"
"N4","Ncar","2","2"
"N4","Ncar","3","3"
"N4","Ncar","4","4"
"N6","Ncar","1","1"
"N6","Ncar","2","2"
"N6","Ncar","3","3"
"N6","Ncar","4","4"
"N6","Ncar","5","5"
"N6","Ncar","6","6"
"P2","Pcar","1","1"
"P2","Pcar","2","2"
"P3","Pcar","1","1"
"P3","Pcar","2","2"
"P3","Pcar","3","3"
"P4","Pcar","1","1"
"P4","Pcar","2","2"
"P4","Pcar","3","3"
"P4","Pcar","4","4"
"P5","Pcar","1","1"
"P5","Pcar","2","2"
"P5","Pcar","3","3"
"P5","Pcar","4","4"
"P5","Pcar","5","5"
"P6","Pcar","1","1"
"P6","Pcar","2","2"
"P6","Pcar","3","3"
"P6","Pcar","4","4"
"P6","Pcar","5","5"
"P6","Pcar","6","6"
"P7","Pcar","1","1"
"P7","Pcar","2","2"
"P7","Pcar","3","3"
"P7","Pcar","4","4"
"P7","Pcar","5","5"
"P7","Pcar","6","6"
"P7","Pcar","7","7"
"T4","Tcar","1","1"
"T4","Tcar","2","2"
"T4","Tcar","3","3"
"T4","Tcar","4","4"
"T8","Tcar","1","1"
"T8","Tcar","2","2"
"T8","Tcar","3","3"
"T8","Tcar","4","4"
"T8","Tcar","5","5"
"T8","Tcar","6","6"
"T8","Tcar","7","7"
"T8","Tcar","8","8"
"V4","Vcar","1","1"
"V4","Vcar","2","2"
"V4","Vcar","3","3"
"V4","Vcar","4","4"
"V8","Vcar","1","1"
"V8","Vcar","2","2"
"V8","Vcar","3","3"
"V8","Vcar","4","4"
"V8","Vcar","5","5"
"V8","Vcar","6","6"
"V8","Vcar","7","7"
"V8","Vcar","8","8"
"X4","Xcar","1","1"
"X4","Xcar","2","2"
"X4","Xcar","3","3"
"X4","Xcar","4","4"
"X5","Xcar","1","1"
"X5","Xcar","2","2"
"X5","Xcar","3","3"
"X5","Xcar","4","4"
"X5","Xcar","5","5"
"X6","Xcar","1","1"
"X6","Xcar","2","2"
"X6","Xcar","3","3"
"X6","Xcar","4","4"
"X6","Xcar","5","5"
"X6","Xcar","6","6"
"X7","Xcar","1","1"
"X7","Xcar","2","2"
"X7","Xcar","3","3"
"X7","Xcar","4","4"
"X7","Xcar","5","5"
"X7","Xcar","6","6"
"X7","Xcar","7","7"
